espn_id,date,kickoff_utc,stage,home_team,away_team,home_score,away_score,total_goals,gd,outcome,winner,p_home,p_draw,p_away,brier,fav_side,p_fav,upset,fav_won,venue_city,stadium,lat,lon,tz,local_hour,daypart,temp_c,humidity_pct,apparent_c,heat_humidity_index
760455,2026-06-23,2026-06-23 03:00:00+00:00,group,Jordan,Algeria,1,2,3,-1,A,Algeria,0.2078,0.2622,0.5299,0.3329,A,0.5299,0.0,1.0,"Santa Clara, California",Levi's Stadium,37.403,-121.97,America/Los_Angeles,20.0,evening(18-21),17.4,69.0,16.3,12.005999999999998
760461,2026-06-23,2026-06-23 17:00:00+00:00,group,Portugal,Uzbekistan,5,0,5,5,H,Portugal,0.5911,0.2455,0.1634,0.2542,H,0.5911,0.0,1.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),31.3,67.0,37.9,20.971
760458,2026-06-23,2026-06-23 20:00:00+00:00,group,England,Ghana,0,0,0,0,D,,0.7828,0.1629,0.0543,1.3165,H,0.7828,1.0,0.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,16.0,afternoon(15-18),19.6,96.0,21.4,18.816000000000003
760460,2026-06-23,2026-06-23 23:00:00+00:00,group,Panama,Croatia,0,1,1,-1,A,Croatia,0.2114,0.2633,0.5253,0.3394,A,0.5253,0.0,1.0,Toronto,BMO Field,43.6332,-79.4185,America/Toronto,19.0,evening(18-21),22.1,50.0,20.3,11.05
760459,2026-06-24,2026-06-24 02:00:00+00:00,group,Colombia,DR Congo,1,0,1,1,H,Colombia,0.671,0.2165,0.1125,0.1678,H,0.671,0.0,1.0,Guadalajara,Estadio Akron,20.6819,-103.4625,America/Mexico_City,20.0,evening(18-21),18.4,88.0,19.5,16.191999999999997
760462,2026-06-24,2026-06-24 19:00:00+00:00,group,Bosnia and Herzegovina,Qatar,3,1,4,2,H,Bosnia and Herzegovina,0.407,0.3307,0.2622,0.5298,H,0.407,0.0,1.0,"Seattle, Washington",Lumen Field,47.5952,-122.3316,America/Los_Angeles,12.0,midday(<15),27.0,36.0,28.6,9.72
760463,2026-06-24,2026-06-24 19:00:00+00:00,group,Switzerland,Canada,2,1,3,1,H,Switzerland,0.3176,0.3359,0.3466,0.6986,A,0.3466,1.0,0.0,Vancouver,BC Place,49.2768,-123.112,America/Vancouver,12.0,midday(<15),24.1,45.0,25.0,10.845
760464,2026-06-24,2026-06-24 22:00:00+00:00,group,Morocco,Haiti,4,2,6,2,H,Morocco,0.6851,0.2357,0.0792,0.161,H,0.6851,0.0,1.0,"Atlanta, Georgia",Mercedes-Benz Stadium,33.7554,-84.4008,America/New_York,18.0,evening(18-21),28.5,43.0,29.4,12.255
760465,2026-06-24,2026-06-24 22:00:00+00:00,group,Scotland,Brazil,0,3,3,-3,A,Brazil,0.1853,0.3096,0.5051,0.3751,A,0.5051,0.0,1.0,"Miami Gardens, Florida",Hard Rock Stadium,25.958,-80.2389,America/New_York,18.0,evening(18-21),27.3,87.0,33.6,23.750999999999998
760467,2026-06-25,2026-06-25 01:00:00+00:00,group,Czech Republic,Mexico,0,3,3,-3,A,Mexico,0.0941,0.2511,0.6548,0.1911,A,0.6548,0.0,1.0,Mexico City,Estadio Azteca,19.3029,-99.1505,America/Mexico_City,19.0,evening(18-21),19.0,61.0,18.5,11.59
760466,2026-06-25,2026-06-25 01:00:00+00:00,group,South Africa,South Korea,1,0,1,1,H,South Africa,0.14,0.2867,0.5732,1.1504,A,0.5732,1.0,0.0,Guadalupe,Estadio BBVA (Monterrey),25.669,-100.244,America/Monterrey,19.0,evening(18-21),29.6,57.0,31.1,16.872
760473,2026-06-25,2026-06-25 20:00:00+00:00,group,Curaçao,Ivory Coast,0,2,2,-2,A,Ivory Coast,0.1805,0.2853,0.5343,0.3309,A,0.5343,0.0,1.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,39.9008,-75.1675,America/New_York,16.0,afternoon(15-18),29.2,35.0,28.6,10.22
760468,2026-06-25,2026-06-25 20:00:00+00:00,group,Ecuador,Germany,2,1,3,1,H,Ecuador,0.2579,0.3075,0.4346,0.8341,A,0.4346,1.0,0.0,"East Rutherford, New Jersey",MetLife Stadium,40.8135,-74.0745,America/New_York,16.0,afternoon(15-18),27.9,39.0,26.5,10.880999999999998
760472,2026-06-25,2026-06-25 23:00:00+00:00,group,Tunisia,Netherlands,1,3,4,-2,A,Netherlands,0.0577,0.191,0.7513,0.1017,A,0.7513,0.0,1.0,"Kansas City, Missouri",Arrowhead Stadium,39.0489,-94.4839,America/Chicago,18.0,evening(18-21),22.2,91.0,24.9,20.202
760471,2026-06-25,2026-06-25 23:00:00+00:00,group,Japan,Sweden,1,1,2,0,D,,0.572,0.2733,0.1547,0.8792,H,0.572,1.0,0.0,"Arlington, Texas",AT&T Stadium,32.7473,-97.0945,America/Chicago,18.0,evening(18-21),33.2,46.0,34.2,15.272
760469,2026-06-26,2026-06-26 02:00:00+00:00,group,Paraguay,Australia,0,0,0,0,D,,0.3415,0.3147,0.3438,0.7045,A,0.3438,1.0,0.0,"Santa Clara, California",Levi's Stadium,37.403,-121.97,America/Los_Angeles,19.0,evening(18-21),20.1,54.0,18.2,10.854000000000001
760470,2026-06-26,2026-06-26 02:00:00+00:00,group,Turkey,United States,3,2,5,1,H,Turkey,0.1395,0.264,0.5965,1.166,A,0.5965,1.0,0.0,"Inglewood, California",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,19.0,evening(18-21),19.8,67.0,19.4,13.266000000000002
760475,2026-06-26,2026-06-26 19:00:00+00:00,group,Norway,France,1,4,5,-3,A,France,0.296,0.3072,0.3968,0.5458,A,0.3968,0.0,1.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,15.0,afternoon(15-18),20.9,92.0,22.6,19.227999999999998
760474,2026-06-26,2026-06-26 19:00:00+00:00,group,Senegal,Iraq,5,0,5,5,H,Senegal,0.455,0.2995,0.2454,0.4469,H,0.455,0.0,1.0,Toronto,BMO Field,43.6332,-79.4185,America/Toronto,15.0,afternoon(15-18),20.1,82.0,22.0,16.482
760478,2026-06-27,2026-06-27 00:00:00+00:00,group,Cape Verde,Saudi Arabia,0,0,0,0,D,,0.3193,0.3089,0.3718,0.7178,A,0.3718,1.0,0.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,19.0,evening(18-21),30.9,61.0,33.8,18.849
760479,2026-06-27,2026-06-27 00:00:00+00:00,group,Uruguay,Spain,0,1,1,-1,A,Spain,0.1035,0.2346,0.6619,0.1801,A,0.6619,0.0,1.0,Guadalajara,Estadio Akron,20.6819,-103.4625,America/Mexico_City,18.0,evening(18-21),23.4,56.0,24.4,13.104
760476,2026-06-27,2026-06-27 03:00:00+00:00,group,Egypt,Iran,1,1,2,0,D,,0.3784,0.3085,0.3131,0.7194,H,0.3784,1.0,0.0,"Seattle, Washington",Lumen Field,47.5952,-122.3316,America/Los_Angeles,20.0,evening(18-21),17.1,69.0,14.4,11.799000000000001
760477,2026-06-27,2026-06-27 03:00:00+00:00,group,New Zealand,Belgium,1,5,6,-4,A,Belgium,0.1221,0.2484,0.6295,0.2139,A,0.6295,0.0,1.0,Vancouver,BC Place,49.2768,-123.112,America/Vancouver,20.0,evening(18-21),15.9,81.0,16.0,12.879000000000001
760485,2026-06-27,2026-06-27 21:00:00+00:00,group,Panama,England,0,2,2,-2,A,England,0.0842,0.1993,0.7164,0.1272,A,0.7164,0.0,1.0,"East Rutherford, New Jersey",MetLife Stadium,40.8135,-74.0745,America/New_York,17.0,afternoon(15-18),22.1,86.0,25.5,19.006
760480,2026-06-27,2026-06-27 21:00:00+00:00,group,Croatia,Ghana,2,1,3,1,H,Croatia,0.6013,0.246,0.1527,0.2428,H,0.6013,0.0,1.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,39.9008,-75.1675,America/New_York,17.0,afternoon(15-18),23.3,78.0,25.3,18.174
760482,2026-06-27,2026-06-27 23:30:00+00:00,group,DR Congo,Uzbekistan,3,1,4,2,H,DR Congo,0.4095,0.2865,0.3039,0.5231,H,0.4095,0.0,1.0,"Atlanta, Georgia",Mercedes-Benz Stadium,33.7554,-84.4008,America/New_York,19.5,evening(18-21),30.6,52.0,32.6,15.912
760481,2026-06-27,2026-06-27 23:30:00+00:00,group,Colombia,Portugal,0,0,0,0,D,,0.4455,0.2827,0.2719,0.7869,H,0.4455,1.0,0.0,"Miami Gardens, Florida",Hard Rock Stadium,25.958,-80.2389,America/New_York,19.5,evening(18-21),29.8,63.0,33.9,18.774
760484,2026-06-28,2026-06-28 02:00:00+00:00,group,Algeria,Austria,3,3,6,0,D,,0.3705,0.2886,0.3408,0.7595,H,0.3705,1.0,0.0,"Kansas City, Missouri",Arrowhead Stadium,39.0489,-94.4839,America/Chicago,21.0,night(>=21),26.2,82.0,30.1,21.484
760483,2026-06-28,2026-06-28 02:00:00+00:00,group,Jordan,Argentina,1,3,4,-2,A,Argentina,0.032,0.1327,0.8354,0.0457,A,0.8354,0.0,1.0,"Arlington, Texas",AT&T Stadium,32.7473,-97.0945,America/Chicago,21.0,night(>=21),32.1,53.0,33.7,17.013
760486,2026-06-28,2026-06-28 19:00:00+00:00,r32,South Africa,Canada,0,1,1,-1,A,Canada,0.347,0.0,0.653,0.2408,A,0.653,0.0,1.0,"Inglewood, California",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,12.0,midday(<15),23.1,48.0,23.0,11.088000000000001
760487,2026-06-29,2026-06-29 17:00:00+00:00,r32,Brazil,Japan,2,1,3,1,H,Brazil,0.6062,0.0,0.3938,0.3102,H,0.6062,0.0,1.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),33.4,57.0,38.9,19.038
760489,2026-06-29,2026-06-29 20:30:00+00:00,r32,Germany,Paraguay,1,1,2,0,D,Paraguay,0.5471,0.0,0.4529,0.5986,H,0.5471,1.0,0.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,16.5,afternoon(15-18),27.3,48.0,28.4,13.104000000000001
760488,2026-06-30,2026-06-30 01:00:00+00:00,r32,Netherlands,Morocco,1,1,2,0,D,Morocco,0.4566,0.0,0.5434,0.417,A,0.5434,0.0,1.0,Guadalupe,Estadio BBVA (Monterrey),25.669,-100.244,America/Monterrey,19.0,evening(18-21),30.2,54.0,31.1,16.308
760490,2026-06-30,2026-06-30 17:00:00+00:00,r32,Ivory Coast,Norway,1,2,3,-1,A,Norway,0.2859,0.0,0.7141,0.1635,A,0.7141,0.0,1.0,"Arlington, Texas",AT&T Stadium,32.7473,-97.0945,America/Chicago,12.0,midday(<15),33.0,47.0,36.4,15.51
760492,2026-06-30,2026-06-30 21:00:00+00:00,r32,France,Sweden,3,0,3,3,H,France,0.8648,0.0,0.1352,0.0366,H,0.8648,0.0,1.0,"East Rutherford, New Jersey",MetLife Stadium,40.8135,-74.0745,America/New_York,17.0,afternoon(15-18),32.6,41.0,33.3,13.366000000000001
760491,2026-07-01,2026-07-01 02:00:00+00:00,r32,Mexico,Ecuador,2,0,2,2,H,Mexico,,,,,,,,,Mexico City,Estadio Azteca,19.3029,-99.1505,America/Mexico_City,20.0,evening(18-21),15.1,90.0,15.7,13.59
